LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,Default_Payment,Bill_Amount_Total,Pay_Amount_Total,Bill_Amount_Average,Pay_Amount_Average,Repayment_Status_Total,Repayment_Status_Average,Bill_Amount_Total_cluster,Bill_Amount_Average_cluster,Pay_Amount_Total_cluster,Pay_Amount_Average_cluster,Repayment_Status_Total_cluster,Repayment_Status_Average_cluster,AGE_cluster
170000,2,1,2,27,1,8842,2488,1473.6666666666667,414.6666666666667,-7,-1.1666666666666667,0,0,0,0,5,1,6
190000,2,2,1,55,0,582561,26962,97093.5,4493.666666666667,0,0.0,1,1,0,0,4,4,2
230000,2,1,2,28,1,513652,19448,85608.66666666667,3241.3333333333335,0,0.0,1,1,0,0,4,4,6
120000,2,2,2,29,0,698915,28410,116485.83333333333,4735.0,0,0.0,1,1,0,0,4,4,0
50000,2,2,2,23,1,117858,6459,19643.0,1076.5,2,0.3333333333333333,0,0,0,0,1,0,3
220000,2,2,2,41,1,116862,14017,19477.0,2336.1666666666665,0,0.0,0,0,0,0,4,4,9
320000,2,1,2,32,0,1890098,66665,315016.3333333333,11110.833333333334,2,0.3333333333333333,2,2,2,2,1,0,8
160000,2,2,1,27,1,119490,1020,19915.0,170.0,-6,-1.0,0,0,0,0,5,1,6
20000,2,2,2,23,0,58987,14000,9831.166666666666,2333.3333333333335,2,0.3333333333333333,0,0,0,0,1,0,3
460000,2,1,2,34,0,2128,6360,354.6666666666667,1060.0,-9,-1.5,0,0,0,0,8,6,8
490000,1,1,1,38,0,60042,33396,10007.0,5566.0,-4,-0.6666666666666666,0,0,0,0,2,9,4
130000,2,2,1,47,0,372521,14094,62086.833333333336,2349.0,0,0.0,3,3,0,0,4,4,1
170000,1,2,2,41,0,560346,19781,93391.0,3296.8333333333335,0,0.0,1,1,0,0,4,4,9
150000,2,2,2,24,0,654345,25900,109057.5,4316.666666666667,0,0.0,1,1,0,0,4,4,3
180000,2,1,2,33,0,4616,3570,769.3333333333334,595.0,-12,-2.0,0,0,0,0,0,2,8
50000,1,3,2,35,0,123195,16509,20532.5,2751.5,-3,-0.5,0,0,0,0,2,9,8
240000,2,-1,1,44,0,204121,29500,34020.166666666664,4916.666666666667,0,0.0,3,3,0,0,4,4,1
390000,2,1,2,37,0,91998,81832,15333.0,13638.666666666666,-6,-1.0,0,0,2,2,5,1,4
50000,1,3,2,47,0,148979,4372,24829.833333333332,728.6666666666666,0,0.0,0,0,0,0,4,4,1
310000,1,1,1,43,0,0,0,0.0,0.0,-12,-2.0,0,0,0,0,0,2,1
100000,2,1,2,28,0,2197,2511,366.1666666666667,418.5,-7,-1.1666666666666667,0,0,0,0,5,1,6
260000,2,1,2,36,0,3142,460,523.6666666666666,76.66666666666667,-9,-1.5,0,0,0,0,8,6,4
30000,2,2,2,28,0,170607,8000,28434.5,1333.3333333333333,4,0.6666666666666666,3,3,0,0,1,0,6
310000,1,2,2,27,0,367368,215999,61228.0,35999.833333333336,-11,-1.8333333333333333,3,3,1,1,0,2,6
270000,1,1,2,40,0,1011892,87000,168648.66666666666,14500.0,0,0.0,4,4,2,2,4,4,9
250000,2,1,1,30,1,120274,67400,20045.666666666668,11233.333333333334,-3,-0.5,0,0,2,2,2,9,0
130000,2,2,1,31,0,184344,16131,30724.0,2688.5,0,0.0,3,3,0,0,4,4,0
220000,1,1,1,35,0,175698,30000,29283.0,5000.0,0,0.0,3,3,0,0,4,4,8
60000,2,2,2,48,0,363478,20000,60579.666666666664,3333.3333333333335,0,0.0,3,3,0,0,4,4,5
120000,1,1,2,29,0,430153,80358,71692.16666666667,13393.0,-12,-2.0,3,3,2,2,0,2,0
30000,2,2,1,35,0,118406,28657,19734.333333333332,4776.166666666667,0,0.0,0,0,0,0,4,4,8
130000,2,1,2,30,1,773966,26602,128994.33333333333,4433.666666666667,10,1.6666666666666667,1,1,0,0,3,3,0
100000,2,2,1,35,0,112646,99296,18774.333333333332,16549.333333333332,-4,-0.6666666666666666,0,0,2,2,2,9,8
200000,2,1,2,26,0,2142,852,357.0,142.0,-6,-1.0,0,0,0,0,5,1,6
260000,2,2,1,47,0,1042812,52000,173802.0,8666.666666666666,0,0.0,4,4,2,2,4,4,1
390000,1,1,1,45,1,819238,22000,136539.66666666666,3666.6666666666665,4,0.6666666666666666,1,1,0,0,1,0,1
340000,2,1,2,42,0,846654,42425,141109.0,7070.833333333333,-3,-0.5,1,1,2,2,2,9,9
140000,2,2,2,24,1,615088,24099,102514.66666666667,4016.5,-12,-2.0,1,1,0,0,0,2,3
220000,2,2,2,39,0,845234,37318,140872.33333333334,6219.666666666667,0,0.0,1,1,0,0,4,4,9
20000,1,2,1,31,0,7597,6029,1266.1666666666667,1004.8333333333334,-6,-1.0,0,0,0,0,5,1,0
500000,1,2,2,40,0,322608,261370,53768.0,43561.666666666664,-5,-0.8333333333333334,3,3,1,1,5,1,9
210000,2,2,1,33,1,62610,31022,10435.0,5170.333333333333,-1,-0.16666666666666666,0,0,0,0,4,4,8
340000,2,2,2,39,0,1688911,60631,281485.1666666667,10105.166666666666,0,0.0,2,2,2,2,4,4,9
130000,1,2,1,44,1,123357,11000,20559.5,1833.3333333333333,4,0.6666666666666666,0,0,0,0,1,0,1
200000,2,2,2,34,0,659360,79023,109893.33333333333,13170.5,0,0.0,1,1,2,2,4,4,8
150000,1,1,1,35,1,648438,20400,108073.0,3400.0,0,0.0,1,1,0,0,4,4,8
50000,2,3,2,22,0,237296,35969,39549.333333333336,5994.833333333333,0,0.0,3,3,0,0,4,4,3
60000,2,1,2,25,1,241726,9400,40287.666666666664,1566.6666666666667,15,2.5,3,3,0,0,9,8,3
60000,1,1,2,27,0,16275,49349,2712.5,8224.833333333334,-5,-0.8333333333333334,0,0,2,2,5,1,6
150000,2,3,1,29,0,743887,23962,123981.16666666667,3993.6666666666665,0,0.0,1,1,0,0,4,4,0
180000,1,1,1,38,1,303211,13100,50535.166666666664,2183.3333333333335,12,2.0,3,3,0,0,3,3,4
50000,1,2,2,22,0,199157,10068,33192.833333333336,1678.0,0,0.0,3,3,0,0,4,4,3
10000,2,3,1,48,0,33785,2358,5630.833333333333,393.0,0,0.0,0,0,0,0,4,4,5
100000,2,2,2,24,0,525838,17420,87639.66666666667,2903.3333333333335,0,0.0,1,1,0,0,4,4,3
30000,2,2,2,21,0,9902,9902,1650.3333333333333,1650.3333333333333,-12,-2.0,0,0,0,0,0,2,3
50000,1,3,1,51,0,230786,7342,38464.333333333336,1223.6666666666667,0,0.0,3,3,0,0,4,4,5
30000,1,2,1,39,1,133984,7263,22330.666666666668,1210.5,2,0.3333333333333333,0,0,0,0,1,0,9
100000,2,2,2,30,1,600438,19745,100073.0,3290.8333333333335,12,2.0,1,1,0,0,3,3,0
100000,1,2,2,35,0,163033,10080,27172.166666666668,1680.0,8,1.3333333333333333,0,0,0,0,6,7,8
290000,1,2,1,37,0,1134588,218351,189098.0,36391.833333333336,-12,-2.0,4,4,1,1,0,2,4
140000,2,2,1,42,0,25728,16830,4288.0,2805.0,-2,-0.3333333333333333,0,0,0,0,2,9,9
240000,2,1,1,39,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,9
380000,1,1,2,27,0,8346,6421,1391.0,1070.1666666666667,-3,-0.5,0,0,0,0,2,9,6
230000,2,3,1,54,0,7310,8123,1218.3333333333333,1353.8333333333333,-6,-1.0,0,0,0,0,5,1,2
40000,2,1,2,24,1,206798,34017,34466.333333333336,5669.5,0,0.0,3,3,0,0,4,4,3
210000,2,1,1,34,0,456920,18800,76153.33333333333,3133.3333333333335,0,0.0,1,1,0,0,4,4,8
150000,2,2,1,37,0,523687,9236,87281.16666666667,1539.3333333333333,-2,-0.3333333333333333,1,1,0,0,2,9,4
70000,2,3,1,27,1,185385,10635,30897.5,1772.5,12,2.0,3,3,0,0,3,3,6
80000,2,2,2,24,0,11317,1000,1886.1666666666667,166.66666666666666,-6,-1.0,0,0,0,0,5,1,3
50000,1,2,2,30,0,234767,12820,39127.833333333336,2136.6666666666665,0,0.0,3,3,0,0,4,4,0
300000,2,2,2,27,0,0,0,0.0,0.0,-12,-2.0,0,0,0,0,0,2,6
180000,2,2,2,30,0,355103,13040,59183.833333333336,2173.3333333333335,0,0.0,3,3,0,0,4,4,0
150000,2,1,2,35,0,50874,43328,8479.0,7221.333333333333,-12,-2.0,0,0,2,2,0,2,8
60000,1,1,2,24,0,138112,14446,23018.666666666668,2407.6666666666665,0,0.0,0,0,0,0,4,4,3
100000,2,2,2,37,1,332183,7904,55363.833333333336,1317.3333333333333,0,0.0,3,3,0,0,4,4,4
90000,2,2,1,26,0,533964,23100,88994.0,3850.0,2,0.3333333333333333,1,1,0,0,1,0,6
20000,1,2,1,43,0,95417,5397,15902.833333333334,899.5,0,0.0,0,0,0,0,4,4,1
320000,2,1,2,32,1,-404,6484,-67.33333333333333,1080.6666666666667,-12,-2.0,0,0,0,0,0,2,8
90000,2,3,1,68,0,75289,77114,12548.166666666666,12852.333333333334,-10,-1.6666666666666667,0,0,2,2,8,6,7
500000,1,2,2,36,0,479102,163525,79850.33333333333,27254.166666666668,-2,-0.3333333333333333,1,1,1,1,2,9,4
210000,1,1,1,37,0,8638,8313,1439.6666666666667,1385.5,-6,-1.0,0,0,0,0,5,1,4
30000,1,2,2,29,1,57388,1000,9564.666666666666,166.66666666666666,-4,-0.6666666666666666,0,0,0,0,2,9,0
20000,1,2,1,51,1,10400,0,1733.3333333333333,0.0,-8,-1.3333333333333333,0,0,0,0,8,6,5
50000,2,1,2,23,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,3
360000,2,3,1,39,0,8268,3304,1378.0,550.6666666666666,-7,-1.1666666666666667,0,0,0,0,5,1,9
80000,2,3,1,28,0,146886,6000,24481.0,1000.0,-2,-0.3333333333333333,0,0,0,0,2,9,6
150000,1,1,1,47,0,11237,7642,1872.8333333333333,1273.6666666666667,-6,-1.0,0,0,0,0,5,1,1
20000,1,2,1,36,0,138855,5293,23142.5,882.1666666666666,12,2.0,0,0,0,0,3,3,4
150000,2,3,1,55,0,14369,13451,2394.8333333333335,2241.8333333333335,-12,-2.0,0,0,0,0,0,2,2
340000,1,3,1,29,0,1931840,74000,321973.3333333333,12333.333333333334,0,0.0,2,2,2,2,4,4,0
500000,1,2,1,61,1,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,7
100000,2,3,1,33,0,222224,10965,37037.333333333336,1827.5,4,0.6666666666666666,3,3,0,0,1,0,8
160000,1,2,1,62,0,0,0,0.0,0.0,-12,-2.0,0,0,0,0,0,2,7
300000,2,1,1,42,0,20855,22448,3475.8333333333335,3741.3333333333335,-6,-1.0,0,0,0,0,5,1,9
240000,1,1,2,34,0,82414,43147,13735.666666666666,7191.166666666667,0,0.0,0,0,2,2,4,4,8
60000,2,2,1,30,1,358039,12500,59673.166666666664,2083.3333333333335,2,0.3333333333333333,3,3,0,0,1,0,0
20000,2,2,2,21,0,22775,1005,3795.8333333333335,167.5,-6,-1.0,0,0,0,0,5,1,3
80000,2,2,1,25,0,13485,2672,2247.5,445.3333333333333,3,0.5,0,0,0,0,1,0,3
20000,1,2,1,47,0,1170,780,195.0,130.0,-9,-1.5,0,0,0,0,8,6,1
240000,2,1,1,35,0,45534,42108,7589.0,7018.0,-4,-0.6666666666666666,0,0,2,2,2,9,8
20000,1,2,2,25,0,120834,5400,20139.0,900.0,9,1.5,0,0,0,0,6,7,3
290000,1,2,1,33,0,901369,31974,150228.16666666666,5329.0,0,0.0,4,4,0,0,4,4,8
120000,2,1,2,33,0,337490,14096,56248.333333333336,2349.3333333333335,0,0.0,3,3,0,0,4,4,8
100000,2,2,2,33,0,413820,92057,68970.0,15342.833333333334,0,0.0,3,3,2,2,4,4,8
20000,1,2,1,42,0,94110,5416,15685.0,902.6666666666666,0,0.0,0,0,0,0,4,4,9
60000,2,2,1,49,1,112115,6000,18685.833333333332,1000.0,7,1.1666666666666667,0,0,0,0,6,7,5
150000,2,2,2,26,1,118650,20500,19775.0,3416.6666666666665,2,0.3333333333333333,0,0,0,0,1,0,6
500000,1,1,1,57,0,96053,91907,16008.833333333334,15317.833333333334,-6,-1.0,0,0,2,2,5,1,2
120000,2,2,2,24,1,138280,14882,23046.666666666668,2480.3333333333335,-1,-0.16666666666666666,0,0,0,0,4,4,3
80000,2,2,1,35,0,46536,48765,7756.0,8127.5,-5,-0.8333333333333334,0,0,2,2,5,1,8
100000,2,3,1,39,0,248797,11827,41466.166666666664,1971.1666666666667,0,0.0,3,3,0,0,4,4,9
20000,1,1,1,53,0,92965,5665,15494.166666666666,944.1666666666666,0,0.0,0,0,0,0,4,4,2
200000,2,2,1,33,0,137836,13700,22972.666666666668,2283.3333333333335,0,0.0,0,0,0,0,4,4,8
80000,1,1,1,39,0,313659,17247,52276.5,2874.5,2,0.3333333333333333,3,3,0,0,1,0,9
80000,1,1,2,33,0,443669,42446,73944.83333333333,7074.333333333333,2,0.3333333333333333,3,3,2,2,1,0,8
150000,1,1,2,26,0,179888,23500,29981.333333333332,3916.6666666666665,2,0.3333333333333333,3,3,0,0,1,0,6
50000,1,2,1,50,0,203211,9122,33868.5,1520.3333333333333,0,0.0,3,3,0,0,4,4,5
370000,2,1,2,28,0,34134,81651,5689.0,13608.5,-6,-1.0,0,0,2,2,5,1,6
130000,2,2,2,25,1,718078,32553,119679.66666666667,5425.5,5,0.8333333333333334,1,1,0,0,6,7,3
450000,2,1,1,41,0,13995,9881,2332.5,1646.8333333333333,-1,-0.16666666666666666,0,0,0,0,4,4,9
200000,2,2,1,44,0,131967,124656,21994.5,20776.0,-1,-0.16666666666666666,0,0,2,2,4,4,1
130000,1,1,2,30,0,406925,21906,67820.83333333333,3651.0,2,0.3333333333333333,3,3,0,0,1,0,0
230000,2,-1,2,23,0,450098,258304,75016.33333333333,43050.666666666664,0,0.0,3,3,1,1,4,4,3
90000,2,1,2,29,0,93987,91016,15664.5,15169.333333333334,0,0.0,0,0,2,2,4,4,0
30000,1,3,1,53,0,60196,65314,10032.666666666666,10885.666666666666,-6,-1.0,0,0,2,2,5,1,2
180000,1,2,1,43,1,30065,5700,5010.833333333333,950.0,-1,-0.16666666666666666,0,0,0,0,4,4,1
140000,1,1,2,32,0,41130,23671,6855.0,3945.1666666666665,3,0.5,0,0,0,0,1,0,8
380000,1,1,1,52,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,5
30000,2,2,1,56,1,167713,9200,27952.166666666668,1533.3333333333333,13,2.1666666666666665,3,3,0,0,3,3,2
80000,2,3,1,46,1,481079,29518,80179.83333333333,4919.666666666667,4,0.6666666666666666,1,1,0,0,1,0,1
60000,2,3,1,47,1,121579,21099,20263.166666666668,3516.5,0,0.0,0,0,0,0,4,4,1
290000,2,1,2,32,0,32082,27984,5347.0,4664.0,-9,-1.5,0,0,0,0,8,6,8
160000,2,2,1,26,1,6932,7546,1155.3333333333333,1257.6666666666667,-6,-1.0,0,0,0,0,5,1,6
20000,1,1,2,28,0,75108,28500,12518.0,4750.0,0,0.0,0,0,0,0,4,4,6
80000,2,3,1,65,0,487315,20109,81219.16666666667,3351.5,0,0.0,1,1,0,0,4,4,7
360000,2,1,1,34,0,37154,22811,6192.333333333333,3801.8333333333335,-5,-0.8333333333333334,0,0,0,0,5,1,8
30000,2,1,2,44,0,158597,23700,26432.833333333332,3950.0,2,0.3333333333333333,0,0,0,0,1,0,1
140000,2,2,1,37,0,2597,4656,432.8333333333333,776.0,-6,-1.0,0,0,0,0,5,1,4
150000,1,1,2,33,0,283963,36116,47327.166666666664,6019.333333333333,0,0.0,3,3,0,0,4,4,8
130000,1,1,1,45,0,369778,14934,61629.666666666664,2489.0,0,0.0,3,3,0,0,4,4,1
410000,1,1,1,34,1,150427,41377,25071.166666666668,6896.166666666667,-2,-0.3333333333333333,0,0,2,2,2,9,8
70000,2,1,2,28,1,303957,11750,50659.5,1958.3333333333333,0,0.0,3,3,0,0,4,4,6
30000,2,1,2,24,0,166563,7500,27760.5,1250.0,0,0.0,3,3,0,0,4,4,3
50000,2,2,1,37,0,13963,8435,2327.1666666666665,1405.8333333333333,-7,-1.1666666666666667,0,0,0,0,5,1,4
180000,1,2,1,45,0,710926,28949,118487.66666666667,4824.833333333333,0,0.0,1,1,0,0,4,4,1
30000,2,2,2,36,0,2730,1950,455.0,325.0,-4,-0.6666666666666666,0,0,0,0,2,9,4
20000,1,1,2,38,0,113283,6634,18880.5,1105.6666666666667,2,0.3333333333333333,0,0,0,0,1,0,4
30000,1,2,2,24,0,9850,10490,1641.6666666666667,1748.3333333333333,-6,-1.0,0,0,0,0,5,1,3
20000,2,2,2,53,0,64993,4818,10832.166666666666,803.0,0,0.0,0,0,0,0,4,4,2
280000,1,1,2,27,0,84660,58821,14110.0,9803.5,-3,-0.5,0,0,2,2,2,9,6
50000,2,2,1,28,1,115254,14000,19209.0,2333.3333333333335,0,0.0,0,0,0,0,4,4,6
360000,1,1,1,34,1,24704,25749,4117.333333333333,4291.5,-7,-1.1666666666666667,0,0,0,0,5,1,8
190000,2,3,1,41,1,757748,25968,126291.33333333333,4328.0,4,0.6666666666666666,1,1,0,0,1,0,9
180000,2,1,1,36,0,19519,17787,3253.1666666666665,2964.5,-12,-2.0,0,0,0,0,0,2,4
60000,2,1,2,24,0,234277,9900,39046.166666666664,1650.0,0,0.0,3,3,0,0,4,4,3
320000,2,2,1,47,0,156292,137994,26048.666666666668,22999.0,0,0.0,0,0,1,1,4,4,1
10000,1,3,2,33,1,4598,6723,766.3333333333334,1120.5,-6,-1.0,0,0,0,0,5,1,8
200000,2,2,1,52,1,3144,2362,524.0,393.6666666666667,0,0.0,0,0,0,0,4,4,5
50000,1,2,2,24,0,35841,18662,5973.5,3110.3333333333335,0,0.0,0,0,0,0,4,4,3
180000,2,1,2,25,0,0,0,0.0,0.0,-12,-2.0,0,0,0,0,0,2,3
20000,1,2,2,24,1,107892,6757,17982.0,1126.1666666666667,15,2.5,0,0,0,0,9,8,3
300000,2,2,1,28,0,1546491,49006,257748.5,8167.666666666667,2,0.3333333333333333,4,4,2,2,1,0,6
90000,2,1,2,28,1,350,0,58.333333333333336,0.0,-10,-1.6666666666666667,0,0,0,0,8,6,6
160000,2,2,2,23,1,363468,52309,60578.0,8718.166666666666,0,0.0,3,3,2,2,4,4,3
20000,1,2,2,39,0,96087,4983,16014.5,830.5,0,0.0,0,0,0,0,4,4,9
150000,2,2,2,28,0,38409,73809,6401.5,12301.5,-6,-1.0,0,0,2,2,5,1,6
50000,1,3,2,26,0,209544,8911,34924.0,1485.1666666666667,8,1.3333333333333333,3,3,0,0,6,7,6
60000,1,3,-1,43,0,368677,14305,61446.166666666664,2384.1666666666665,0,0.0,3,3,0,0,4,4,1
210000,2,1,1,54,0,75683,11202,12613.833333333334,1867.0,-1,-0.16666666666666666,0,0,0,0,4,4,2
150000,1,2,2,27,0,607756,70800,101292.66666666667,11800.0,0,0.0,1,1,2,2,4,4,6
60000,2,2,2,24,1,215189,16085,35864.833333333336,2680.8333333333335,0,0.0,3,3,0,0,4,4,3
210000,2,2,1,35,0,34943,8828,5823.833333333333,1471.3333333333333,-3,-0.5,0,0,0,0,2,9,8
210000,1,2,2,28,0,399224,4500,66537.33333333333,750.0,-12,-2.0,3,3,0,0,0,2,6
360000,2,3,1,31,0,69425,44710,11570.833333333334,7451.666666666667,-6,-1.0,0,0,2,2,5,1,0
10000,1,1,2,25,0,50368,4800,8394.666666666666,800.0,7,1.1666666666666667,0,0,0,0,6,7,3
140000,2,1,2,32,0,692367,24500,115394.5,4083.3333333333335,4,0.6666666666666666,1,1,0,0,1,0,8
100000,2,1,2,33,0,334290,10300,55715.0,1716.6666666666667,3,0.5,3,3,0,0,1,0,8
50000,1,2,2,23,1,4998,3382,833.0,563.6666666666666,-4,-0.6666666666666666,0,0,0,0,2,9,3
360000,2,3,2,42,1,0,0,0.0,0.0,-12,-2.0,0,0,0,0,0,2,9
360000,1,2,1,42,0,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,9
30000,2,2,2,27,0,28682,2504,4780.333333333333,417.3333333333333,-2,-0.3333333333333333,0,0,0,0,2,9,6
20000,1,2,2,36,0,82195,9341,13699.166666666666,1556.8333333333333,6,1.0,0,0,0,0,6,7,4
260000,2,1,1,42,0,66114,57842,11019.0,9640.333333333334,-4,-0.6666666666666666,0,0,2,2,2,9,9
100000,2,1,2,38,1,242269,11500,40378.166666666664,1916.6666666666667,12,2.0,3,3,0,0,3,3,4
340000,2,2,2,39,0,594647,177227,99107.83333333333,29537.833333333332,-6,-1.0,1,1,1,1,5,1,9
50000,2,1,2,31,1,48447,36341,8074.5,6056.833333333333,7,1.1666666666666667,0,0,0,0,6,7,0
180000,2,2,1,32,0,38446,33550,6407.666666666667,5591.666666666667,-4,-0.6666666666666666,0,0,0,0,2,9,8
360000,2,1,2,33,0,16727,17002,2787.8333333333335,2833.6666666666665,-4,-0.6666666666666666,0,0,0,0,2,9,8
60000,2,2,1,35,0,193964,11597,32327.333333333332,1932.8333333333333,2,0.3333333333333333,3,3,0,0,1,0,8
20000,2,3,1,28,0,86195,15189,14365.833333333334,2531.5,4,0.6666666666666666,0,0,0,0,1,0,6
150000,2,1,1,44,1,108297,34427,18049.5,5737.833333333333,5,0.8333333333333334,0,0,0,0,6,7,1
150000,1,1,1,50,0,622387,69845,103731.16666666667,11640.833333333334,0,0.0,1,1,2,2,4,4,5
300000,1,1,2,32,0,89462,29587,14910.333333333334,4931.166666666667,-2,-0.3333333333333333,0,0,0,0,2,9,8
420000,2,3,2,35,0,324547,11902,54091.166666666664,1983.6666666666667,0,0.0,3,3,0,0,4,4,8
500000,1,1,2,34,0,1621039,269569,270173.1666666667,44928.166666666664,0,0.0,2,2,1,1,4,4,8
150000,2,2,2,30,0,65591,0,10931.833333333334,0.0,-8,-1.3333333333333333,0,0,0,0,8,6,0
50000,1,3,1,54,1,225954,9435,37659.0,1572.5,7,1.1666666666666667,3,3,0,0,6,7,2
110000,2,2,2,24,0,291910,79766,48651.666666666664,13294.333333333334,4,0.6666666666666666,3,3,2,2,1,0,3
150000,2,2,1,38,0,8141,53318,1356.8333333333333,8886.333333333334,-12,-2.0,0,0,2,2,0,2,4
80000,1,1,2,26,0,381258,12663,63543.0,2110.5,0,0.0,3,3,0,0,4,4,6
150000,2,3,1,34,0,47130,21000,7855.0,3500.0,-4,-0.6666666666666666,0,0,0,0,2,9,8
50000,2,2,2,39,0,20650,3000,3441.6666666666665,500.0,-8,-1.3333333333333333,0,0,0,0,8,6,9
20000,1,2,2,33,0,114390,6409,19065.0,1068.1666666666667,0,0.0,0,0,0,0,4,4,8
80000,2,2,2,33,0,344445,16032,57407.5,2672.0,0,0.0,3,3,0,0,4,4,8
150000,1,1,1,41,1,750766,34779,125127.66666666667,5796.5,8,1.3333333333333333,1,1,0,0,6,7,9
240000,2,3,1,41,0,445121,231512,74186.83333333333,38585.333333333336,-4,-0.6666666666666666,3,3,1,1,2,9,9
100000,2,2,1,27,0,2170,4780,361.6666666666667,796.6666666666666,-12,-2.0,0,0,0,0,0,2,6
130000,2,2,1,45,0,339816,14522,56636.0,2420.3333333333335,0,0.0,3,3,0,0,4,4,1
20000,1,2,1,37,0,81358,3972,13559.666666666666,662.0,0,0.0,0,0,0,0,4,4,4
340000,2,1,2,35,0,12801,15854,2133.5,2642.3333333333335,-6,-1.0,0,0,0,0,5,1,8
430000,1,1,1,40,0,473824,483132,78970.66666666667,80522.0,-6,-1.0,1,1,3,3,5,1,9
110000,2,1,1,57,0,111139,7500,18523.166666666668,1250.0,0,0.0,0,0,0,0,4,4,2
90000,2,3,1,49,0,50126,13205,8354.333333333334,2200.8333333333335,-1,-0.16666666666666666,0,0,0,0,4,4,5
10000,2,1,2,26,0,37380,11900,6230.0,1983.3333333333333,-2,-0.3333333333333333,0,0,0,0,2,9,6
100000,1,1,2,32,0,4270,0,711.6666666666666,0.0,-10,-1.6666666666666667,0,0,0,0,8,6,8
390000,2,1,1,34,0,121396,61959,20232.666666666668,10326.5,-8,-1.3333333333333333,0,0,2,2,8,6,8
130000,2,2,2,43,0,30554,28956,5092.333333333333,4826.0,-5,-0.8333333333333334,0,0,0,0,5,1,1
180000,2,2,1,37,0,463104,18383,77184.0,3063.8333333333335,0,0.0,1,1,0,0,4,4,4
50000,1,2,-1,51,0,263606,8157,43934.333333333336,1359.5,0,0.0,3,3,0,0,4,4,5
80000,2,2,1,30,0,289567,10524,48261.166666666664,1754.0,0,0.0,3,3,0,0,4,4,0
30000,2,3,2,33,1,155731,7527,25955.166666666668,1254.5,7,1.1666666666666667,0,0,0,0,6,7,8
150000,2,1,2,30,0,41425,25983,6904.166666666667,4330.5,-4,-0.6666666666666666,0,0,0,0,2,9,0
230000,1,2,2,46,0,4018,4394,669.6666666666666,732.3333333333334,-4,-0.6666666666666666,0,0,0,0,2,9,1
90000,2,2,2,23,1,505864,15900,84310.66666666667,2650.0,14,2.3333333333333335,1,1,0,0,3,3,3
80000,2,2,-1,30,0,66165,8742,11027.5,1457.0,0,0.0,0,0,0,0,4,4,0
30000,2,2,2,22,1,114070,3523,19011.666666666668,587.1666666666666,-2,-0.3333333333333333,0,0,0,0,2,9,3
90000,2,1,1,28,1,67492,28500,11248.666666666666,4750.0,-1,-0.16666666666666666,0,0,0,0,4,4,6
200000,1,2,2,44,0,11915,18144,1985.8333333333333,3024.0,-6,-1.0,0,0,0,0,5,1,1
230000,1,2,1,50,1,421747,14358,70291.16666666667,2393.0,0,0.0,3,3,0,0,4,4,5
100000,1,1,2,54,0,305544,9330,50924.0,1555.0,0,0.0,3,3,0,0,4,4,2
360000,2,1,2,28,0,886968,126841,147828.0,21140.166666666668,0,0.0,4,4,2,2,4,4,6
500000,1,1,1,43,1,0,0,0.0,0.0,-9,-1.5,0,0,0,0,8,6,1
240000,2,2,2,42,0,186558,189809,31093.0,31634.833333333332,-6,-1.0,3,3,1,1,5,1,9
360000,1,1,2,28,0,595868,264432,99311.33333333333,44072.0,0,0.0,1,1,1,1,4,4,6
360000,1,2,1,30,1,10000,0,1666.6666666666667,0.0,8,1.3333333333333333,0,0,0,0,6,7,0
320000,1,1,1,43,0,677173,28028,112862.16666666667,4671.333333333333,0,0.0,1,1,0,0,4,4,1
50000,2,2,1,40,0,50587,3079,8431.166666666666,513.1666666666666,-2,-0.3333333333333333,0,0,0,0,2,9,9
140000,2,2,2,31,0,323926,15473,53987.666666666664,2578.8333333333335,0,0.0,3,3,0,0,4,4,0
360000,2,2,1,30,0,19458,9038,3243.0,1506.3333333333333,-4,-0.6666666666666666,0,0,0,0,2,9,0
180000,2,1,2,27,1,36721,36575,6120.166666666667,6095.833333333333,-6,-1.0,0,0,0,0,5,1,6
330000,2,1,1,40,0,326672,267000,54445.333333333336,44500.0,-8,-1.3333333333333333,3,3,1,1,8,6,9
140000,2,1,2,24,1,15499,2203,2583.1666666666665,367.1666666666667,0,0.0,0,0,0,0,4,4,3
360000,2,1,1,27,0,10303,11038,1717.1666666666667,1839.6666666666667,-12,-2.0,0,0,0,0,0,2,6
150000,2,1,2,27,1,108464,7000,18077.333333333332,1166.6666666666667,8,1.3333333333333333,0,0,0,0,6,7,6
220000,2,3,2,29,0,93887,16026,15647.833333333334,2671.0,0,0.0,0,0,0,0,4,4,0
260000,1,3,2,31,0,1354498,45579,225749.66666666666,7596.5,0,0.0,4,4,2,2,4,4,0
30000,2,3,1,54,0,118458,6225,19743.0,1037.5,4,0.6666666666666666,0,0,0,0,1,0,2
50000,1,2,2,25,0,4096,2805,682.6666666666666,467.5,-5,-0.8333333333333334,0,0,0,0,5,1,3
230000,2,1,1,36,1,26975,28677,4495.833333333333,4779.5,-3,-0.5,0,0,0,0,2,9,4
